2020-01-30/21:22:31		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:31		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:31		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:32		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:33		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:34		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:35		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:36		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:37		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:38		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:39		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:40		 wafer_16012020_051629.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:41		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
